user,day,risk_score,insider,projected_risk_7d,risk_score_drift
ACM2278,3.0,0.9943642,0.0,,
ACM2278,4.0,0.996642,0.0,,
ACM2278,5.0,0.7912282,0.0,0.11486722,0.7912282
ACM2278,6.0,1.6625757,0.0,2.6405404,1.6625757
ACM2278,7.0,1.7419435,0.0,3.1823337,1.7419435
ACM2278,10.0,0.9120442,0.0,1.4749084,0.9120442
ACM2278,11.0,1.5185362,0.0,1.6345018,1.5185362
ACM2278,12.0,1.1172149,0.0,1.1731944,1.1172149
ACM2278,13.0,1.1970102,0.0,0.52728134,1.1970102
ACM2278,14.0,0.9636929,0.0,0.37452182,0.9636929
ACM2278,17.0,1.0355618,0.0,0.8848128,1.0355618
ACM2278,18.0,0.7662149,0.0,0.2864495,0.7662149
ACM2278,19.0,1.0260223,0.0,0.69164926,1.0260223
ACM2278,20.0,1.1830839,0.0,0.9545049,1.1830839
ACM2278,21.0,0.9896009,0.0,1.1460358,0.9896009
ACM2278,24.0,1.8565067,0.0,2.5528457,1.8565067
ACM2278,25.0,1.2462709,0.0,2.249998,1.2462709
ACM2278,26.0,1.4888078,0.0,2.0771723,1.4888078
ACM2278,27.0,0.8765708,0.0,1.3849843,0.8765708
ACM2278,28.0,0.8232764,0.0,0.7936051,0.8232764
ACM2278,31.0,1.2399806,0.0,0.34532633,1.2399806
ACM2278,32.0,1.2661135,0.0,1.1664777,1.2661135
ACM2278,33.0,0.7929364,0.0,0.8696016,0.7929364
ACM2278,34.0,0.9786409,0.0,1.2078025,0.9786409
ACM2278,35.0,1.6666065,0.0,1.7941556,1.6666065
ACM2278,38.0,0.86422634,0.0,0.84978616,0.86422634
ACM2278,39.0,0.8610928,0.0,0.6817683,0.8610928
ACM2278,40.0,1.372342,0.0,1.223525,1.372342
ACM2278,41.0,0.91379374,0.0,0.72780114,0.91379374
ACM2278,42.0,0.90649444,0.0,0.23358122,0.90649444
ACM2278,45.0,1.3503526,0.0,1.6478676,1.3503526
ACM2278,46.0,1.3637311,0.0,1.7239197,1.3637311
ACM2278,47.0,1.2721803,0.0,1.5608361,1.2721803
ACM2278,48.0,1.6171683,0.0,2.1855946,1.6171683
ACM2278,49.0,1.2595564,0.0,1.937198,1.2595564
