user,peak_risk,mean_risk,last_risk,total_days,days_flagged,days_high,peak_day,is_insider,primary_dim,intervention_level,max_projected_risk
AAB0162,2.0749,0.8395,0.6641,356,0,0,108.0,0,AUTONOMOUS,1.0,3.1207
AAB0398,2.7842,1.2643,1.0049,356,0,0,228.0,0,COMPLIANT,1.0,3.5472
AAC0610,3.5525,1.7979,1.1152,360,0,0,293.0,0,SOCIAL,1.0,4.5437
AAC0668,2.1409,0.9877,0.8149,356,0,0,434.0,0,COMPLIANT,1.0,2.43
AAC3270,1.6787,0.9076,0.9506,356,0,0,287.0,0,SOCIAL,1.0,1.9035
AAD2188,1.7091,0.9145,0.8704,356,0,0,467.0,0,AUTONOMOUS,1.0,2.011
AAD3030,2.6479,1.134,0.5874,356,0,0,383.0,0,AUTONOMOUS,1.0,3.26
AAF0819,2.9445,1.9866,1.774,356,0,0,461.0,0,AUTONOMOUS,1.0,4.6495
AAF3937,1.5009,0.8766,0.8337,356,0,0,77.0,0,CAREFULL,1.0,1.8487
AAG1447,2.5426,0.8287,0.7923,356,0,0,315.0,0,AUTONOMOUS,1.0,2.8374
AAG3799,4.0537,1.9677,2.4206,356,0,0,320.0,0,AUTONOMOUS,1.0,5.1054
AAH0721,2.5771,1.0182,0.7796,356,0,0,315.0,0,COMPLIANT,1.0,3.1285
AAM0138,1.4219,0.7388,0.8082,356,0,0,73.0,0,CAREFULL,1.0,2.4156
AAM0729,1.5469,0.8822,1.1308,356,0,0,255.0,0,AUTONOMOUS,1.0,2.2262
AAP0352,3.4507,1.5226,1.3578,356,0,0,137.0,0,COMPLIANT,1.0,4.059
AAP1919,2.7443,1.7855,1.5374,356,0,0,502.0,0,AUTONOMOUS,1.0,4.3111
AAP1942,1.7689,1.0521,1.124,356,0,0,479.0,0,AUTONOMOUS,1.0,2.5689
AAR0641,1.8628,0.8009,0.8584,356,0,0,319.0,0,AUTONOMOUS,1.0,1.9249
AAS0144,1.8376,0.9082,0.8082,356,0,0,195.0,0,AUTONOMOUS,1.0,2.09
AAS2987,2.4737,1.0056,0.8403,356,0,0,452.0,0,RISK_TAKER,1.0,2.9388
AAS3428,4.3676,1.5845,1.0999,440,0,0,163.0,0,COMPLIANT,1.0,7.3733
AAT2913,1.3038,0.7929,0.7902,288,0,0,47.0,0,AUTONOMOUS,1.0,1.3017
AAV3669,2.2893,1.0689,1.5205,356,0,0,446.0,0,RISK_TAKER,1.0,2.5163
AAW0894,2.5903,1.4397,1.277,356,0,0,59.0,0,SOCIAL,1.0,3.4249
ABB0167,1.4727,0.8539,0.8047,148,0,0,187.0,0,SOCIAL,1.0,2.0673
ABB0300,2.6022,1.0477,1.2723,384,0,0,99.0,0,AUTONOMOUS,1.0,3.6097
ABC3523,1.5792,0.8761,0.9371,356,0,0,489.0,0,SOCIAL,1.0,1.6748
ABD3426,6.516,4.0277,1.5197,471,78,0,79.0,0,SOCIAL,1.0,8.7257
ABE2352,2.4761,1.2309,1.1577,356,0,0,151.0,0,COMPLIANT,1.0,3.6834
ABG2353,1.6841,0.8794,0.7528,356,0,0,481.0,0,COMPLIANT,1.0,2.0805
ABG3605,2.2761,1.0651,0.9946,356,0,0,462.0,0,COMPLIANT,1.0,4.7443
ABH0349,5.4188,1.5767,3.2044,356,0,0,510.0,0,CAREFULL,1.0,12.1895
ABH1181,2.7757,1.1839,1.3043,356,0,0,178.0,0,AUTONOMOUS,1.0,4.3388
ABH2671,1.8628,0.9507,1.4021,356,0,0,88.0,0,AUTONOMOUS,1.0,2.4847
ABJ0281,1.6063,1.0596,0.9414,104,0,0,108.0,0,AUTONOMOUS,1.0,1.8561
ABK0481,1.5034,0.9643,0.802,34,0,0,20.0,0,AUTONOMOUS,1.0,1.6799
ABK3081,4.8345,1.6527,1.5569,428,0,0,316.0,0,COMPLIANT,1.0,7.2699
ABL0870,2.1471,1.1402,1.1016,356,0,0,350.0,0,SOCIAL,1.0,3.1336
ABM3203,4.2012,1.4884,1.301,438,0,0,463.0,0,RISK_TAKER,1.0,5.7822
ABM3641,3.6222,1.6436,2.3656,512,0,0,449.0,0,SOCIAL,1.0,3.4706
