day,n_flagged,n_high_risk,mean_risk,max_risk,n_users,n_insiders_flagged
1,0,0,1.0914352202960862,2.2892322465318298,200,0
2,0,0,1.0083325987263532,1.949745600660328,184,0
3,0,0,0.5049856418583678,2.6307431335040783,4000,0
4,0,0,0.46150569036997785,2.2845564812918866,4000,0
5,17,9,0.584260180891517,7.097781585605788,3996,0
6,55,21,0.531956749203257,7.308559507841165,4000,0
7,860,119,1.7926441712178924,7.216477082796437,4000,0
8,68,34,2.9746333239539573,8.167978743953991,209,0
9,44,16,2.482365891662873,7.522607124524531,188,0
10,974,295,2.1880732768372795,7.5685682018389775,3999,0
11,483,84,1.6788052448169746,7.244253370644214,4000,0
12,248,28,1.3916966028580986,7.513192712051471,4000,0
13,327,79,1.518446012019372,7.694977965895614,3999,0
14,101,9,1.0862420558314072,7.41757801812535,4000,0
15,27,13,2.13030681710896,7.401361597215398,206,0
16,26,5,2.216573882829096,7.212691748247042,203,0
17,210,40,1.2934353697525638,7.592238913642038,4000,0
18,98,8,1.1142667399384834,7.479056852286837,4000,0
19,41,2,0.9609104050399104,6.356920832956599,4000,0
20,20,1,0.8197593285992274,7.20070502152581,4000,0
21,68,5,1.0568714273239417,6.6203946416362935,4000,0
22,49,15,2.4229697270574397,6.95308602339465,251,0
23,6,1,1.6790896453287645,6.440382310808432,184,0
24,65,8,1.0709963321363847,7.572626395084344,4000,0
25,25,0,0.9199828009993217,5.726043757676758,4000,0
26,40,4,0.9296444403992078,7.514672329361119,4000,0
27,60,7,0.9323607284461104,7.942302523558951,4000,0
28,36,6,0.8843658958535278,7.453559980519116,4000,0
29,8,3,1.7170538676732554,7.0202419199109976,201,0
30,11,2,1.6819039974025989,6.526665826221599,186,0
31,65,12,0.9366766460878231,7.853284599379793,4000,0
32,28,0,0.8043183036239077,5.800723812680574,3999,0
33,28,3,0.8020444467895202,6.831703610281442,3998,0
34,18,3,0.7610538500003855,6.890797712803093,3995,0
35,53,6,0.9271978577527443,7.464952934937307,3992,0
36,35,12,2.1522897484643333,7.45194784284308,263,0
37,15,1,1.8683035437054447,6.180026584184379,185,0
38,84,12,1.0028349808104982,7.509797549794011,3991,0
39,33,4,0.8637811463237607,7.2643373557134625,3993,0
40,31,2,0.7514820933733175,6.916401655452342,3993,0
41,46,7,0.8719994061575388,7.408690768668288,3991,0
42,22,1,0.8151728943887283,6.370280074602201,3992,0
43,11,2,1.6474305687001656,6.382502984804217,183,0
44,7,0,1.6335765332153591,5.576264721129353,184,0
45,67,8,0.9934812036228322,7.211887520874428,3986,0
46,33,2,0.8825561204345472,6.978173664705198,3986,0
47,99,11,1.131308767868552,7.172265799370382,3986,0
48,30,2,0.9427906462314734,6.113594641476943,3986,0
49,53,4,1.0152441242199302,7.288991673661143,3985,0
50,18,2,1.876609255381274,7.043087062878132,205,0
51,15,1,1.8844002560131634,6.495104557790632,204,0
52,25,4,0.9535585356611708,6.8703142168575,3980,0
53,85,6,1.1162873421404305,6.897898034540144,3979,0
54,36,2,0.9333854079619482,7.236863061352029,3980,0
55,32,2,0.9033345438575275,6.970983972647748,3979,0
56,38,3,0.9425710711793494,6.85382857287262,3978,0
57,12,4,1.8653163705966151,6.718269867159322,189,0
58,19,1,2.0363344361826745,6.357900043626799,204,0
59,96,16,1.1115805175494584,7.587627859636709,3977,0
60,43,8,0.8845663422195672,7.222979652333634,3976,0
61,71,9,0.9043347111031385,7.235097379883011,3975,0
62,126,24,1.0656489648124794,7.547277257210631,3973,0
63,141,36,1.1228812485755149,7.92286019815821,3972,0
64,62,28,2.8706905542579757,7.823391137805133,236,0
65,24,6,2.319636566016996,6.998737184503832,182,0
66,151,28,1.11740873737735,7.973111440280179,3966,0
67,204,32,1.2936884553338197,7.713908817485704,3964,0
68,187,23,1.2942075315625605,8.038231235707045,3964,0
