user,COMPLIANT,SOCIAL,CAREFULL,RISK_TAKER,AUTONOMOUS,primary_dim,O,C,E,A,N
AAB0162,0.0487309133996241,0.054098062561235366,0.05418512047155399,0.6680778155733984,0.12776455472669854,RISK_TAKER,45,36,33,15,33
AAB0398,0.007584973834188508,0.0,0.019840206247657456,0.0,0.014557493161494092,CAREFULL,16,38,16,26,34
AAC0610,0.023689615839247728,0.0,0.01939496654238985,0.0,0.04018054830209138,AUTONOMOUS,46,35,50,42,31
AAC0668,0.03747840084469619,0.040926315146464165,0.0,0.3102017530011581,0.0,RISK_TAKER,38,48,37,38,37
AAC3270,0.0,0.19126040263242405,0.0,0.07535422838032435,0.0,SOCIAL,26,37,42,45,30
AAD2188,0.0,0.0,0.0,0.032547035683979375,0.0,RISK_TAKER,21,30,11,35,28
AAD3030,0.0,0.035469931878877266,0.0,0.06815978928335004,0.00528477187470365,RISK_TAKER,43,35,19,26,31
AAF0819,0.1686023616011446,0.0,0.0891082372053397,0.1784370820030839,0.0,RISK_TAKER,30,18,14,38,25
AAF3937,0.0,0.0,0.0,0.0,0.0,COMPLIANT,39,37,39,19,30
AAG1447,0.08613311401622648,0.06992733047405378,0.0,0.04018611351984141,0.0,COMPLIANT,41,36,17,20,29
AAG3799,0.0,0.07848794606930411,0.0,0.11340788551296122,0.0,RISK_TAKER,45,46,15,39,36
AAH0721,0.08610437363016148,0.14583050304557837,0.11145325656170464,0.710872579061359,0.01588227170061546,RISK_TAKER,19,39,30,44,24
AAM0138,0.0,0.0,0.014649140255178663,0.0,0.0,CAREFULL,30,43,21,28,28
AAM0729,0.0,0.0,0.0,0.0,0.09582204572497367,AUTONOMOUS,42,37,26,24,23
AAP0352,0.14753631964480837,0.02359347074753799,0.053918685115295836,0.5439587169720916,0.0,RISK_TAKER,35,49,19,39,27
AAP1919,0.0,0.0015468603664585384,0.0,0.10470498194571752,0.0,RISK_TAKER,45,15,14,41,28
AAP1942,0.010190133875323429,0.2631348918069889,0.0,0.021190741893013502,0.08522105538491023,SOCIAL,47,50,25,18,36
AAR0641,0.0,0.0,0.0,0.0,0.0,COMPLIANT,43,34,18,32,35
AAS0144,0.0,0.17659351803073678,0.0,0.32145437219418177,0.0,RISK_TAKER,43,31,21,13,23
AAS2987,0.01776342148677905,0.0,0.09980360442405786,0.0,0.16723664245098002,AUTONOMOUS,16,20,30,14,32
AAS3428,0.10945815649246045,0.0,0.037001789910263594,0.0,0.029451054500552923,COMPLIANT,36,35,19,44,21
AAT2913,0.0,0.1314309461228674,0.0,0.4041848196626322,0.04302782113988738,RISK_TAKER,41,37,17,37,28
AAV3669,0.0,0.0,0.0,0.0,0.04183327127625147,AUTONOMOUS,28,17,27,16,21
AAW0894,0.0,0.0,0.039335338565029014,0.0,0.0,CAREFULL,20,36,43,33,43
ABB0167,0.0,0.0,0.0,0.06042889358070787,0.0,RISK_TAKER,39,36,45,23,37
ABB0300,0.0,0.0,0.023686626260590073,0.033603397863782296,0.0,RISK_TAKER,38,26,14,20,26
ABC3523,0.11072365456572819,0.12310285460150543,0.06479340656938393,0.005660060635706187,0.1030232685999285,SOCIAL,16,28,48,42,33
ABD3426,0.009415559507407315,0.08655428289707454,0.0015950094200963044,0.2968383560771497,0.3254506485000435,AUTONOMOUS,32,32,47,40,24
ABE2352,0.0,0.0,0.0,0.3091561373262982,0.0,RISK_TAKER,14,50,49,25,36
ABG2353,0.0,0.012794436331100336,0.0,0.4137062400868497,0.0,RISK_TAKER,40,39,38,37,35
ABG3605,0.0,0.09666272234863672,0.0,0.4188841166545027,0.0,RISK_TAKER,38,48,45,34,36
ABH0349,0.0,0.1171948686277064,0.0,0.056597496195827206,0.07299909699475877,SOCIAL,32,41,38,18,34
ABH1181,0.12149080961378787,0.0,0.13577778845569477,0.6002671437717063,0.27028556665270803,RISK_TAKER,48,40,15,10,35
ABH2671,0.025257267513707528,0.09738530376945699,0.0,0.0057222686010244,0.08649258408329748,SOCIAL,31,25,16,20,35
ABJ0281,0.02135897586582034,0.0,0.07159736286720345,0.07290671113881173,0.07608553349410789,AUTONOMOUS,46,13,17,25,39
ABK0481,0.007300994586894313,0.028000520267406206,0.0,0.01849593462964991,0.0,SOCIAL,43,41,20,40,29
ABK3081,0.11156919105755095,0.082809268044298,0.030787158728426696,0.15635145352125565,0.07128095448578145,RISK_TAKER,18,44,17,42,34
ABL0870,0.0,0.009047948835449973,0.0,0.04511593029496419,0.05574354986531229,AUTONOMOUS,41,15,45,35,22
ABM3203,0.0018804932802910892,0.023384756798967503,0.01252266772256041,0.23054507312768888,0.011037560480723773,RISK_TAKER,36,25,42,15,31
ABM3641,0.0,0.0,0.0,0.024003693709403345,0.0,RISK_TAKER,13,41,43,23,41
